epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,1533.56,0.05299,0.99465,0.99991,0.01604,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,1566.53,0.0522,0.99382,1,0.01656,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,1601.4,0.05401,0.99474,1,0.01411,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,1636.18,0.05071,0.99631,1,0.01054,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,1670.39,0.04314,0.99659,1,0.00917,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,1703.68,0.04994,0.99677,1,0.00893,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,1738.09,0.04634,0.99659,1,0.01108,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,1772.07,0.04647,0.99604,1,0.01081,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,1805.82,0.04764,0.99714,0.99991,0.00932,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,1840.25,0.04477,0.9965,1,0.01069,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,1874.37,0.047,0.99585,1,0.01135,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,1908.11,0.04395,0.99705,1,0.00909,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,1941.71,0.04153,0.99705,1,0.01001,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,1974.43,0.04418,0.99714,1,0.00828,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,2008.94,0.03827,0.99659,1,0.0096,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,2042.93,0.04218,0.99631,1,0.0108,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,2077.35,0.03888,0.99696,1,0.0097,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,2111.37,0.03347,0.99677,1,0.00817,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,2146.01,0.04259,0.99751,1,0.00706,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,2180.68,0.04366,0.99714,0.99991,0.00777,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,2215.07,0.03856,0.99714,1,0.0086,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,2249.69,0.03753,0.99723,1,0.00826,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,2283.68,0.03582,0.99733,1,0.00769,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,2317.8,0.03014,0.99733,1,0.00656,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,2351.95,0.0364,0.99742,1,0.00597,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,2387.31,0.03513,0.99788,1,0.00596,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,2421.85,0.03006,0.9977,1,0.00617,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,2456.46,0.03293,0.99806,0.99991,0.00592,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,2490.96,0.0332,0.99816,0.99991,0.00551,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,2524.93,0.03222,0.9977,1,0.00561,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,2560.03,0.02895,0.99779,1,0.00517,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,2594.62,0.03123,0.99806,1,0.00524,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,2629.24,0.02961,0.9977,1,0.00458,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,2664.13,0.02979,0.99788,1,0.00446,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,2698.85,0.02936,0.9977,1,0.00447,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,2733.37,0.02468,0.9977,1,0.00464,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,2767.02,0.02566,0.99806,1,0.00477,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,2799.69,0.02474,0.99825,1,0.0048,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,2832.6,0.02165,0.99825,1,0.00469,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,2866.41,0.0249,0.99816,1,0.00444,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,2901.12,0.02111,0.99816,1,0.0046,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,2935.39,0.02299,0.99816,1,0.0045,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,2968.41,0.02174,0.99834,1,0.0045,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,3003.97,0.02117,0.99843,1,0.00454,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,3038.99,0.02258,0.99852,1,0.00424,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,3073.52,0.01593,0.99843,1,0.00409,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,3108.78,0.01822,0.99834,1,0.00413,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,3142.91,0.01772,0.99852,1,0.00425,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,3176.76,0.01985,0.99852,1,0.00419,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,3211.25,0.01611,0.99852,1,0.00413,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,3245.24,0.015,0.99862,1,0.00395,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,3279.58,0.01351,0.9988,1,0.00389,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,3314.81,0.01431,0.9988,1,0.00397,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,3348.1,0.01438,0.99871,1,0.00385,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,3382.79,0.01297,0.9988,1,0.00384,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,3417.22,0.01059,0.99871,1,0.00377,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,3451.44,0.01192,0.99871,1,0.00373,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,3486.52,0.01296,0.99871,1,0.00361,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,3521.33,0.01101,0.99871,1,0.00354,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,3555.16,0.00926,0.99852,1,0.00354,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,3588.74,0.00992,0.99843,1,0.00346,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,3621.61,0.00888,0.99843,1,0.0034,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,3655.23,0.00824,0.99843,1,0.00335,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
108,3689.2,0.00905,0.99843,1,0.00333,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,3723.38,0.00855,0.99843,1,0.00334,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,3757.13,0.0077,0.99852,1,0.00336,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,3792.32,0.0073,0.99852,1,0.00338,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,3826.3,0.00603,0.99862,1,0.0034,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,3860.83,0.00559,0.99871,1,0.00338,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,3894.73,0.00574,0.99871,1,0.00335,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,3928.27,0.00595,0.99871,1,0.00334,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,3962.34,0.006,0.99871,1,0.00333,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
